City,cityID,clusterID,Country,modeCar,modePT,modeBike,modeWalk,gasPrice,rdDeath,subLen,subLenD,subStPHK,subRidPC,subAge,BRTLen,BRTLenD,BRTStPHK,BRTFlPHK,BRTRidPC,BRTAge,bsSt,bsStPHK,bsBikes,bsBikPHK,bsAge,congest,AMPeak,PMPeak,TI,TTI,inefInd,pop,land,popDen,poCh9000,poCh0010,poCh1020,poCh2025,ur15,urCh1525,GDPPCP,unemploy,costLiv,rent,grocery,restaPri,locPurPo,gini,poverty,lifeExp,safety,internet,digital,innovat,smartphon,CO2EmsPC,polluI,stLenT,stLenD,stLenAvg,intersT,intersD,k_avg,stPerNode,circuity,loopP,highwayP
Dallas-Fort Worth(TX),272,9,United States,90.5,1.4,0.1,1.2,0.58,12.8,150,0.028985507,1.01910828,4.713375796,21,0,0,0,0,0,0,32,0.50955414,300,4.777070064,5,18,33,46,181.32,38.68,189.57,6280000,5175,1200,953473,970218,769962,365633,81.6,1.7,65154,6.3,67.8,42.34,61.03,70.38,171.35,0.469,22.5,78.5,57.54,68.1,0.78,52,72,13.7,45.89,18369192.93,7999072197,157.4403288,67679,435.4612763,5.163237636,3.068791217,1.06285401,0.004344213,0.037315204
Atlanta(GA),273,9,United States,86.8,3.1,0.3,1.3,0.65,14,77,0.011239235,0.7421875,13.96484375,38,0,0,0,0,0,0,0,0,0,0,0,27,45,65,188.09,40.67,200.55,5120000,6851,700,1358193,1332333,745800,350505,81.6,1.7,55300,7.9,73.73,41.62,73.66,68.88,151.37,0.468,22.5,77.2,35.62,76.5,0.78,51,72,10.7,56.21,5295020.466,8165610325,163.1244752,18812,1542.130078,5.184579839,2.755904501,1.083320331,0.014144949,0.027100647
Houston(TX),274,9,United States,91,1.9,0.2,1.4,0.6,12.8,38.3,0.007932891,0.732722731,3.04746045,13,0,0,0,0,0,0,29,0.482930891,225,3.746877602,6,24,41,60,221.59,44.1,243.75,6005000,4828,1200,926932,935962,724741,344730,81.6,1.7,65332,6.2,70.96,45.64,66.44,77.37,155.39,0.469,21.2,76.5,38.04,68.1,0.78,50,72,22.5,61.22,11160118.39,10137419342,138.9647286,45585,908.3612725,5.233020783,3.099429676,1.039758294,0.005844583,0.033485191
Boston(MA),275,9,United States,74.1,13.1,1,5.2,0.7,4.5,61,0.011455399,1.135857461,38.93095768,116,10,0.001877934,0.690423163,1.091314031,2.230690423,,140,3.118040089,3268,72.78396437,7,28,43,54,213.39,45.13,242.71,4490000,5325,800,620832,723155,718279,343746,81.6,1.7,77502,6.3,84.05,75.97,82.9,84.9,137.63,0.475,20.5,77.95,65.03,79.3,0.78,56,72,15.4,27.55,3968887.488,6619322697,110.2683157,21119,1667.80306,4.898296167,2.914039419,1.048539664,0.005750545,0.01397883
Washington(DC),276,9,United States,75.3,13.4,0.9,3.4,0.73,3.4,188,0.054906542,1.838383838,52.72727273,41,0,0,0,0,0,0,406,8.202020202,4457,90.04040404,8,29,46,62,193.9,43.59,206.14,4950000,3424,1300,573083,684762,700067,335544,81.6,1.7,73270,5.4,91.96,77.41,83.9,88.77,119.82,0.532,17.3,76.5,34.34,78.8,0.78,50,72,13,33.91,4664625.847,11264736540,126.8940655,21131,2414.928208,5.299703016,3.081566069,1.045669035,0.004625099,0.033058752
Detroit(MI),277,10,United States,92.5,1.5,0.3,1.3,0.67,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,23,41,,,,3660000,3463,1100,206111,455792,660958,319230,81.6,1.7,52084,9.4,74.84,35.48,74.54,63.66,147.64,0.451,39.8,78.2,28.09,78.2,0.78,44,72,16.9,54.5,7796740.473,11570602784,144.4777258,30493,1484.030772,5.689580605,3.299668017,1.020292531,0.001252636,0.023383031
Phoenix-Mesa(AZ),278,10,United States,87.5,1.8,0.7,1.5,0.62,13.1,42.3,0.013116279,0.814901048,3.795110594,9,128,0.039689922,2.142025611,0.116414435,0.165681024,,40,0.931315483,500,11.64144354,4,16,31,36,138.17,29.91,127.59,4295000,3225,1300,909102,896214,602529,287352,81.6,1.7,43602,6.7,68.39,31.76,61.6,73.34,161.91,0.455,22.3,79.6,42.08,69.5,0.78,45,72,13.4,62.73,15860197.61,6131735847,149.77428,61286,386.6115667,5.135807348,2.78945843,1.078787319,0.004622243,0.01689184
San Francisco Bay Area(CA),279,9,United States,67.6,17.2,2.1,4.5,0.9,8.1,167,0.059706829,0.738874895,21.15869018,45,0,0,0,0,0,0,70,1.175482788,600,10.07556675,5,39,55,73,158.24,40.05,196.72,5955000,2797,2100,274853,445334,572592,277566,81.6,1.7,86830,6.9,97.67,124.52,107.74,91.36,105.28,0.471,12.3,80.8,48.77,73.5,0.78,56,72,13.9,38.27,3888110.725,1537593377,134.3461085,16244,395.4602853,5.367536914,3.102610743,1.068047057,0.004166251,0.031007289
Seattle(WA),280,9,United States,78,9.5,1.1,4.1,0.82,7.9,32.8,0.01097357,0.431654676,5.496402878,8,0,0,0,0,0,0,2,0.057553957,16,0.460431655,4,34,54,77,183.98,40.23,349.51,3475000,2989,1100,520270,571247,524860,253682,81.6,1.7,77273,5.4,86.49,65.2,88,77.61,129.7,0.441,12,79.9,58.97,80.9,0.78,51,72,11.3,31.85,3556463.522,7146688962,126.2545182,15666,2009.493115,5.747294372,3.055140693,1.029323263,0.00090387,0.025541993
San Diego(CA),281,9,United States,84.6,2.9,0.7,3.2,0.9,8.1,86.1,0.045411392,1.704180064,12.25080386,36,14,0.007383966,0.578778135,,1.607717042,,180,5.787781351,1800,57.8778135,2,27,44,60,190.32,41.68,232.69,3110000,1896,1600,327053,436665,497998,242159,81.6,1.7,57465,7.6,77.64,61.08,78.33,75.26,122.93,0.471,15.6,80.8,63.96,73.5,0.78,48,72,12.6,37.44,13091059.22,5363477333,160.648176,45116,409.7053756,4.89801816,2.673809172,1.080245156,0.00334558,0.032859245
Minneapolis-St. Paul(MN),282,10,United States,85.8,4.7,0.8,2.1,0.68,7.5,35.1,0.013260295,1.323792487,8.193202147,13,0,0,0,0,0,0,170,6.082289803,1550,55.45617174,8,16,27,42,166.83,35.27,237.18,2795000,2647,1000,309962,404723,454170,221498,81.6,1.7,61268,4.9,81.1,41.83,87.08,71.49,117.87,0.44,19.5,81.1,53.03,82.6,0.78,44,72,19.4,20.55,2332496.622,12215942219,148.6518783,8832,5237.281848,6.010445534,3.37145598,1.026579218,0.00078028,0.025194033
Denver-Aurora(CO),283,10,United States,83.7,4,0.7,2.3,0.63,10,94.1,0.054393064,2.384615385,9.461538462,13,0,0,0,0,0,0,83,3.192307692,600,23.07692308,8,20,33,44,162.54,35.18,156.15,2600000,1730,1400,470008,493355,413513,201089,81.6,1.7,63246,6.6,79.56,53.05,75.69,77.36,132.86,0.457,15.6,80,67.23,81.2,0.78,47,72,14.9,38.09,10780308.4,7397211445,142.4045388,43253,686.1780917,5.383884208,2.9760011,1.057791577,0.002648263,0.024147566
Tampa-St. Petersburg(FL),284,10,United States,87.4,1.4,0.8,1.5,0.68,14.5,4.3,0.00173457,0.413533835,0.112781955,15,0,0,0,0,0,0,30,1.127819549,300,11.27819549,4,24,33,54,157.77,33.18,157.73,2660000,2479,1000,355265,412396,410610,200500,81.6,1.7,41609,7,72.67,39.34,75.29,69.49,102.21,0.474,20.9,79.4,58.69,76.2,0.78,43,72,18.2,,8342388.705,5541738609,157.3560567,29888,664.2867895,5.169355274,2.847181009,1.096873501,0.007608491,0.023268262
Baltimore(MD),285,10,United States,85,6.1,0.3,2.6,0.66,8.5,24.9,0.013408724,0.615384615,6.417582418,34,0,0,0,0,0,0,50,2.197802198,,0,2,19,33,46,148.97,36.9,150.22,2275000,1857,1200,233673,332204,399059,195708,81.6,1.7,58789,7.2,77.33,48.58,76.48,78.28,150.69,0.443,22.9,78.8,31.19,81,0.78,45,72,14.3,,7468900.983,7604832752,148.0133367,28660,1018.199702,5.021972378,2.869906403,1.0677361,0.00790954,0.041018041
St. Louis(MO),286,10,United States,89.7,2.6,0.3,1.6,0.61,14.3,74,0.030923527,1.685649203,6.970387244,14,0,0,0,0,0,0,0,0,0,0,0,13,23,32,,,,2195000,2393,900,131340,269887,388734,191315,81.6,1.7,50129,7.2,73.67,30.74,72.53,69.19,123.47,0.455,24.9,77.5,31.07,74.6,0.78,42,72,21.5,,3287019.721,9126286941,145.0710443,13074,2776.462484,5.605793196,3.057999326,1.042842946,0.006561081,0.027246948
Portland(OR),287,10,United States,80,6.4,2.3,3.2,0.77,11.1,97,0.071481209,4.85,20.1,31,0,0,0,0,0,0,100,5,100,5,0,29,41,66,125.24,27.73,110.21,2000000,1357,1400,414038,429811,346132,169145,81.6,1.7,62606,7.3,80.35,51.03,81.05,73.47,125.73,0.449,15.8,79.5,55.6,82.1,0.78,46,72,12.6,22.22,6357184.47,9116852196,125.9696522,28435,1434.102194,5.367667044,2.864212911,1.056188881,0.002099311,0.020628105
Cleveland(OH),288,10,United States,88.8,3.1,0.3,2.3,0.62,9.6,31,0.015507754,1.008403361,3.473389356,62,11,0.005502751,2.016806723,1.176470588,2.68907563,9,0,0,0,0,0,12,18,27,,,,1785000,1999,900,109319,233013,341225,168703,81.6,1.7,55697,7.6,74.64,33.52,72.69,68.69,117.88,0.452,34.7,77.8,40.83,71.9,0.78,42,72,11.8,,4144657.018,6033814871,170.4077386,14556,1455.805594,5.645979292,3.023002046,1.034721101,0.003601862,0.030691771
Las Vegas(NV),289,10,United States,89.3,3.7,0.3,1.2,0.73,11.2,0,0,0,0,0,63,0.058333333,4.21286031,,4.548425721,14,0,0,0,0,0,24,23,40,155.35,39.25,187.1,2255000,1080,1700,626777,660262,348098,167478,81.6,1.7,44810,10,77.3,30.9,71.23,78.65,120.4,0.448,16.3,78.1,43.32,77.5,0.78,45,72,17,50.8,6057584.796,6856257379,136.6691062,25016,1131.846703,4.997824642,2.677563599,1.07585363,0.002998464,0.018161522
Pittsburgh(PA),290,10,United States,84.9,6,0.4,3.2,0.76,9.4,42.2,0.018003413,3.063583815,4.50867052,33,30,0.012798635,1.387283237,15.60693642,7.259132948,41,50,2.89017341,500,28.9017341,3,19,30,39,,,,1730000,2344,700,74467,210102,332459,164665,81.6,1.7,54076,6.5,79.21,36.83,78.7,72.69,152.99,0.461,23,78.5,57.56,76.2,0.78,43,72,18,,3209709.9,10614172673,135.9758483,13612,3306.894705,5.354003612,2.850872968,1.064623928,0.00337344,0.021973173
Cincinnati(OH),291,10,United States,89.5,1.9,0.2,2.1,0.62,9.6,0,0,0,0,0,0,0,0,0,0,0,50,2.949852507,,,4,14,25,40,,,,1695000,2041,800,172783,248470,302885,149936,81.6,1.7,53609,7.1,,,,,,0.452,27.4,77.8,46.31,71.9,0.78,42,72,25.7,,3799483.561,6815036990,172.0235234,12290,1793.674556,4.971729756,2.649017729,1.061003467,0.004915189,0.028058278
Sacramento(CA),292,10,United States,86.4,2.1,1.6,1.8,0.83,8.1,69,0.056557377,2.760416667,6.40625,30,0,0,0,0,0,0,0,0,0,0,0,22,38,54,109.14,22.27,82.25,1920000,1220,1400,298244,327900,300831,148150,81.6,1.7,46650,8.6,77.87,37.98,78.47,72.23,121.7,0.471,20.3,80.8,52.93,73.5,0.78,44,72,11.2,46.69,4373845.045,9228634958,146.2384247,17273,2109.959284,5.257593651,2.831640607,1.077823429,0.002264192,0.025716174
Virginia Beach(VA),293,10,United States,88.9,1.8,0.4,3.8,0.61,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,24,39,,,,1465000,1334,1100,110898,201015,278455,138477,81.6,1.7,47115,,,,,,,0.444,7.9,79,,75.4,0.78,41,72,12.42,,4514028.663,2153701756,144.9917664,16696,477.1129996,4.754260127,2.560844148,1.079682344,0.011406844,0.016347222
San Antonio(TX),294,10,United States,89.6,2.3,0.2,1.9,0.59,12.8,0,0,0,0,0,0,0,0,0,0,0,68,3.358024691,600,29.62962963,7,20,35,50,121.2,29,114.29,2025000,1546,1100,199188,252094,277629,137581,81.6,1.7,45006,6,61.45,34.5,58.09,62.34,151.6,0.469,17.8,78.5,48.52,68.1,0.78,43,72,18.5,,14288804.38,4117599895,179.6701084,45978,288.1696597,5.093993515,2.846676101,1.069106108,0.002602317,0.029380352
Kansas City(MO),295,10,United States,91.6,0.9,0.2,1.3,0.62,14.3,0,0,0,0,0,35,0.019931663,2.732919255,1.677018634,2.590062112,,30,1.863354037,300,18.63354037,6,11,16,27,135.93,29,112.3,1610000,1756,900,132327,211395,275447,136909,81.6,1.7,54348,6.4,66.58,30.72,63.92,67.24,170.3,0.455,17.9,77.5,40.01,74.6,0.78,43,72,22.6,,13142168.62,6774043635,158.2955159,47135,515.4433664,5.165692274,2.822683189,1.05452974,0.005827114,0.033226392
Indianapolis(IN),296,10,United States,91.9,0.7,0.3,1.6,0.67,12.4,0,0,0,0,0,0,0,0,0,0,0,25,1.519756839,300,18.23708207,4,11,19,29,,,,1645000,1829,800,306318,324716,274497,135310,81.6,1.7,58670,6.9,74.61,30.53,78.29,65.97,97.02,0.44,20.6,77.6,42.15,76.4,0.78,43,72,12.9,37.33,7493883.581,7682621255,158.1755616,26717,1025.185563,5.203420928,2.787494081,1.071291338,0.010077687,0.023969493
Milwaukee(WI),297,10,United States,88.6,3.6,0.5,2.7,0.64,9.8,0,0,0,0,0,0,0,0,0,0,0,28,1.978798587,200,14.13427562,4,13,24,32,,,,1415000,1414,1000,82748,176893,261385,130360,81.6,1.7,56697,7.3,72.99,33.05,71.23,74.87,123.45,0.43,26.8,80,35.6,79.8,0.78,42,72,15.1,,5061233.232,9799272238,139.6202271,20332,1936.143187,5.579545967,3.280137203,1.035583156,0.003187032,0.02288307
Orlando(FL),298,10,United States,89.6,1.9,0.4,1.1,0.68,14.5,0,0,0,0,0,5,0.002443793,1.035294118,0.470588235,0.631764706,21,37,1.741176471,,,3,20,23,46,191.69,39.75,199.35,2125000,2046,1000,272082,293969,259760,128406,81.6,1.7,45783,6.9,77.62,39.66,81.95,76,121.2,0.474,18.8,79.4,45.55,76.2,0.78,45,72,14.3,39.32,5462754.685,6735924255,159.6549768,19778,1233.063654,4.877933877,2.875157735,1.094265411,0.005984409,0.036112539
Providence(RI),299,10,United States,89.2,2.5,0.2,3.4,0.68,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,29,42,,,,1205000,1412,800,130789,194837,244359,121845,81.6,1.7,43672,9.8,83.6,36.59,77.92,85.35,89.55,0.467,28.1,79.9,,75.5,0.78,43,72,12.8,,1126758.668,13836147501,105.9979933,6302,12279.60156,5.637007651,3.040946444,1.028550345,0.002010758,0.025967437
Columbus(OH),300,10,United States,89.9,1.6,0.3,2.2,0.58,9.6,0,0,0,0,0,0,0,0,0,0,0,30,1.993355482,300,19.93355482,5,16,26,45,109.39,23.89,99.65,1505000,1321,1000,188793,230286,244535,121582,81.6,1.7,56082,6.3,70.97,35.77,69.26,64.59,120.45,0.452,21.8,77.8,56.65,71.9,0.78,40,72,10.2,28.72,9342027.168,6427990632,164.3970571,32566,688.0723548,5.263067653,2.753857836,1.093110513,0.013496533,0.028223185
Austin(TX),301,10,United States,86.8,2.6,0.8,1.8,0.6,12.8,0,0,0,0,0,0,0,0,0,0,0,46,2.746268657,375,22.3880597,5,25,39,59,182.18,37.33,281.76,1675000,1355,1000,343914,353889,232059,114104,81.6,1.7,61183,5.3,68.91,51.31,65.14,69,132.34,0.469,14.5,78.5,65.36,68.1,0.78,46,72,10.4,36.48,8997826.161,5336646981,168.6407302,30832,593.1040326,5.017709748,2.785262773,1.074628536,0.003487803,0.030032628
Memphis(TN),302,10,United States,93,1.1,0.1,1.1,0.62,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,24,34,,,,1110000,1287,800,147488,189333,212291,106117,81.6,1.7,46260,9.3,72.1,30.8,74.46,70.68,136.78,0.468,26.2,76.3,22.63,69.1,0.78,42,72,14.9,,8797053.08,4797384195,172.0762295,28955,545.3399169,5.198772187,2.718217003,1.068258943,0.005986487,0.025207463
Buffalo(NY),303,10,United States,90.1,3.5,0.4,2.4,0.7,5.7,10.3,0.01046748,1.52173913,5.326086957,33,0,0,0,0,0,0,0,0,0,0,0,16,20,33,,,,920000,984,1000,22383,112712,198746,100168,81.6,1.7,44422,7.5,75.41,28.63,77.25,71.01,117.24,0.499,33,80.5,54.13,73.4,0.78,41,72,17.6,,1395030.236,8814175948,150.8630081,5478,6318.268752,5.675865529,3.120254223,1.023747032,0.001296558,0.026222779
Charlotte(NC),304,9,United States,90.4,2.1,0.1,1.5,0.64,13.7,17.9,0.009327775,1.25,3.1875,10,0,0,0,0,0,0,21,1.3125,200,12.5,6,17,28,48,248.66,48.69,308.4,1600000,1919,700,307186,319362,203516,100355,81.6,1.7,56911,7.8,74,40.35,74.78,68.9,119.99,0.464,15.8,77.8,57.31,73.1,0.78,42,72,8.6,,8126134.997,6221672777,167.5319039,26758,765.6373884,4.715685761,2.530134689,1.076009989,0.008001778,0.023725623
Jacksonville(FL),305,10,United States,88.7,1.7,0.6,2,0.67,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,29,48,,,,1170000,1373,800,144511,180232,196568,98437,81.6,1.7,42316,6.9,73.56,33.31,73.66,73.9,111.13,0.474,16.4,79.4,40,76.2,0.78,41,72,18.8,,10677976.37,2823664894,173.5945826,34318,264.4382041,4.914261889,2.688099366,1.081301491,0.006412489,0.026840436
Salt Lake City(UT),306,10,United States,85.5,4.6,0.7,2.5,0.65,9.2,75.3,0.104583333,5.090909091,17.45454545,18,0,0,0,0,0,0,12,1.090909091,100,9.090909091,5,16,20,43,175.21,39.64,226.22,1100000,720,1400,98483,149931,191711,96335,81.6,1.7,61900,4.2,67.82,33.47,65.89,71.17,159.15,0.419,19.1,80.2,76.17,81.2,0.78,43,72,13.7,57.88,2053179.993,3951253335,178.739444,6652,1924.455405,5.282205514,2.89924812,1.052279692,0.001755551,0.045356739
Louisville(KY),307,10,United States,90.9,1.8,0.2,1.5,0.64,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,23,46,,,,1035000,1235,800,108983,154667,188803,94847,81.6,1.7,51166,7.7,73.59,28.48,81.91,61.99,130.13,0.466,16.7,76,43.02,71.9,0.78,42,72,24.7,,9400430,4647455100,186.0844864,27932,494.3875014,4.984073196,2.610770795,1.085138275,0.011035334,0.027180652
Richmond(VA),308,10,United States,90.5,1.4,0.5,1.9,0.63,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,25,,,,1030000,1274,700,125840,162271,183149,91969,81.6,1.7,54605,6,,,,,,0.444,24.6,79,56.34,75.4,0.78,43,72,11.7,19.96,6418897.075,6379975201,160.512555,21960,993.9363611,4.938156997,2.725017065,1.060466707,0.005542961,0.032467935
Hartford(CT),309,10,United States,88.5,3.1,0.2,2.5,0.71,7.4,0,0,0,0,0,15,0.011227545,,,3.155125389,3,0,0,0,0,0,16,26,42,,,,965000,1336,700,69999,128967,182033,91743,81.6,1.7,66279,,77.36,42.09,77.15,82.25,124.9,0.486,28.3,80.8,,79.5,0.78,41,72,9.77,,4782055.275,5051160907,207.5184549,13477,1056.274053,5.206721662,2.77574091,1.090644372,0.021852408,0.038772473
Tucson(AZ),310,10,United States,86.9,2.6,1.6,1.9,0.6,13.1,6.3,0.006892779,2.404371585,0.546448087,3,0,0,0,0,0,0,0,0,0,0,0,20,23,33,,,,915000,914,900,141949,166205,168161,84479,81.6,1.7,32070,7,62.59,23.69,59.9,65.94,157.07,0.455,25.2,79.6,47.47,69.5,0.78,39,72,11.2,,5876381.44,4861330582,157.5817607,21077,827.2660024,5.110492457,2.799969903,1.074478182,0.007258433,0.013147157
New Orleans(LA),311,10,United States,88.2,2.6,1.1,2.2,0.63,15.5,35.9,0.055230769,3.027027027,8.756756757,94,0,0,0,0,0,0,62,6.702702703,,,0,23,33,50,,,,925000,650,1400,-30917,-150950,126744,59820,81.6,1.7,53245,6.2,75,39.58,73.59,76.07,94.52,0.475,23.4,75.7,33.16,66.2,0.78,41,72,32.4,47.37,4662719.382,2528934201,128.8150781,19985,542.3732362,5.335232153,3.272299833,1.045882831,0.003033641,0.020846389
Oklahoma City(OK),312,10,United States,92.4,0.4,0.4,1.5,0.59,16.4,0,0,0,0,0,0,0,0,0,0,0,7,0.752688172,100,10.75268817,6,14,24,32,,,,930000,1064,800,37028,99752,159660,80909,81.6,1.7,47819,5.1,65.24,27.07,68.64,59.33,126.16,0.454,16.6,75.9,,69.4,0.78,41,72,9.9,,11710089.52,4259815355,192.1293133,34910,363.773082,5.223320435,2.83052823,1.067911959,0.006997813,0.024807583
Honolulu(HI),313,10,United States,90.9,2.2,0.1,1.9,0.87,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,56,58,180.75,39.31,136.83,850000,440,1800,85844,127065,160251,80938,81.6,1.7,57002,,95.67,69.04,103.2,83.79,86.79,0.433,12.1,81.3,68.84,75.4,0.78,41,72,12.82,45.7,1718685.171,3176157611,160.0563579,5983,1848.015951,4.825554042,2.661260369,1.081656747,0.002719622,0.033619559
Dayton(OH),314,10,United States,91.5,1.7,0.3,2.5,0.6,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,22,,,,735000,909,800,90278,128679,158170,79884,81.6,1.7,44381,7.8,69.41,21.97,70.19,58.61,114.47,0.452,32.5,77.8,,71.9,0.78,39,72,10.5,,3123330.663,6864155134,159.2642223,11219,2197.703629,5.375814627,2.842288197,1.045800746,0.004391164,0.022175821
McAllen(TX),315,10,United States,89.5,0.4,0,1.2,0.6,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,38,,,,860000,927,800,264416,291429,160727,79297,81.6,1.7,20361,10.8,,,,,,0.469,23.8,78.5,,68.1,0.78,,72,8.3,,1912104.424,5661885140,170.3130332,6520,2961.075279,5.429504901,2.836516713,1.074381851,0.004212183,0.007325696
Rochester(NY),316,10,United States,88.6,2.6,0.4,3.5,0.71,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,28,,,,735000,839,900,74951,117955,154618,78220,81.6,1.7,44782,,67.18,29.69,65.6,70.63,138.2,0.499,33.2,80.5,33.27,73.4,0.78,41,72,8.61,,4484798.324,4843135560,196.9608399,13364,1079.900412,5.326108496,2.790995789,1.085960732,0.014743157,0.032085257
El Paso(TX),317,10,United States,91.9,1.7,0.3,1.7,0.6,12.8,0,0,0,0,0,0,0,0,0,0,0,8,0.909090909,80,9.090909091,3,17,23,29,,,,880000,650,1200,104209,135647,154857,78162,81.6,1.7,30143,8.8,,,,,,0.469,18.4,78.5,,68.1,0.78,39,72,10.8,,9837740.674,5724118261,124.7636767,44932,581.8529326,5.579956188,3.084024409,1.048038557,0.002488678,0.023310364
Raleigh(NC),318,10,United States,88.7,1.2,0.3,1,0.65,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,30,49,149,32.5,164.75,1130000,1342,700,238958,254137,156345,77575,81.6,1.7,49703,6.4,70.52,35.5,72.23,69.05,155.65,0.464,15.6,77.8,,73.1,0.78,45,72,6,,5481732.395,5955003007,161.374559,18722,1086.335957,4.699135663,2.544344231,1.077756153,0.007997185,0.023912785
Allentown-Bethlehem(PA),319,10,United States,91.3,1.6,0.2,2.6,0.74,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,32,,,,715000,896,700,167369,178355,147107,73834,81.6,1.7,45589,,83.71,33.95,87.27,73.04,81.41,0.461,24.8,78.5,,76.2,0.78,40,72,18.94,,1063506.603,10198344714,101.5474652,6002,9589.35721,5.840289855,3.048695652,1.037721254,0.001737059,0.016405793
Birmingham(AL),320,10,United States,94.8,0.7,0.1,1.1,0.6,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,25,37,,,,800000,1373,500,41605,94624,145029,73663,81.6,1.7,48405,5.6,71.71,26.58,70.56,74.97,120.45,0.472,29.2,75.4,40.67,66.5,0.78,40,72,25.4,,4791803.646,9150291741,90.41991972,30143,1909.571514,4.556641534,2.452224704,1.058733709,0.008906684,0.012823666
Nashville-Davidson(TN),321,10,United States,92.2,1.1,0.2,1.2,0.63,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,41,62,171.56,37.08,194.94,1105000,1458,700,177814,195803,178569,89347,81.6,1.7,58639,6.4,73.12,46.06,72.94,73.95,139.17,0.468,17.2,76.3,,69.1,0.78,42,72,12.1,,8974631.39,3800079237,207.7028256,24127,423.4245477,4.953597403,2.584209894,1.074736582,0.008141919,0.027370392
Montevideo,322,1,Uruguay,,,,,1.74,16.6,0,0,0,0,0,6,0.019292605,1.302681992,,5.747126437,6,0,0,0,0,0,,,,236.03,55.12,246.31,1305000,311,4200,59144,54201,156486,83406,95.3,1.2,14010,,67.17,19.08,54.23,63.92,36.99,0.43,10.1,77,43.2,60.5,0.54,35,,2.231639431,58.63,4320734.939,4413598002,128.1774879,19234,1021.492423,5.615611614,3.212327463,1.021138135,0.000474641,0
Tashkent,323,2,Uzbekistan,,,,,1.02,11.2,36.2,0.033674419,1.041292639,19.38958707,40,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2785000,1075,2600,34239,78085,336670,293630,36.4,2.3,1961.5,,39.88,12.83,35.04,26.34,25.56,0.28,,69.4,,43.6,0.31,,,3.413198669,,5591731.682,5865475949,166.9672046,19693,1048.955186,5.07764804,2.799749791,1.052746336,0.000427063,0
Caracas,324,7,Venezuela,41,46,0,13,0.01,37.2,63.6,0.21559322,1.707317073,172.4738676,34,5,0.016949153,0.383275261,1.045296167,3.135888502,6,0,0,0,0,0,,,,224.2,50.23,238.33,2870000,295,9700,96978,312502,678798,313509,89,0.6,15890,,37.03,9.96,36.94,39.48,2.71,0.38,,74.1,14.05,61.5,0.47,30,45,6.128008629,77.67,3946558.983,3168604268,164.22783,13771,802.8777175,4.464556398,2.673930004,1.211820976,0.003944478,0.028539235
Maracaibo,325,2,Venezuela,,,,,0.01,37.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2065000,407,5100,420493,531105,518386,235175,89,0.6,13709,,,,,,,0.48,,74.1,,61.5,0.47,,45,6.128008629,,4491062.224,3607336940,105.8039961,24768,803.225776,5.716536546,2.995972728,1.036317104,0.001520226,0.007745999
Valencia(VZL),326,2,Venezuela,62,21,1,16,0.01,37.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1495000,363,4100,338468,429062,427564,195667,89,0.6,13709,,,,,,,0.48,,74.1,,61.5,0.47,,45,6.128008629,,2604630.118,5901171724,93.0424419,17012,2265.646735,4.273104654,3.069095477,1.054140529,0.001227119,0.038416268
Ho Chi Minh City,327,4,Vietnam,11,6, ,,0.91,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,106.2,30.62,105.71,10075000,1554,6500,1351564,1800054,2345715,1163380,33.6,6.3,8660,4.8,41.57,18.73,42.43,20.03,30.92,0.35,2.1,76,40.52,50.1,0.31,37,35,1.700368284,94.38,14091278.95,1692381819,198.1617065,41349,120.1013637,5.254804143,2.838425159,1.059153193,0.000805061,0.00310574
Hanoi,328,4,Vietnam,8,10,2,,0.9,24.5,0,0,0,0,0,14.5,,0.143,,0.149,1,0,0,0,0,0,,,,160.6,40.78,189.18,7445000,868,8600,520495,1149423,1391900,608994,33.6,6.3,3425,6.84,41.73,17.15,37.25,22.72,23.47,0.34,5.4,76,54.64,50.1,0.31,35,35,1.700368284,89.66,8079366.816,1156633569,300.3705412,15881,143.1589375,5.205794631,2.870472944,1.097533266,0.000920773,0.022938148
